Title,URL,Authors,Avg Ratings,Rating,Published_year
12 Rules for Life: An Antidote to Chaos (Audiobook),https://www.goodreads.com/book/show/30257963-12-rules-for-life,Jordan B. Peterson,3.93,"212,098",2018
Man’s Search for Meaning (Paperback),https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,Viktor E. Frankl,4.37,"680,269",1959
"Rich Dad, Poor Dad (Paperback)",https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad,Robert T. Kiyosaki,4.12,"598,488",1997
Who Moved My Cheese? (Hardcover),https://www.goodreads.com/book/show/4894.Who_Moved_My_Cheese_,Spencer Johnson,3.86,"463,340",1999
"The Secret (The Secret, #1)",https://www.goodreads.com/book/show/52529.The_Secret,Rhonda Byrne,3.73,"466,156",2006
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma (Hardcover)",https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score,Bessel van der Kolk,4.41,"163,906",2014
The 4-Hour Workweek (ebook),https://www.goodreads.com/book/show/368593.The_4_Hour_Workweek,Timothy Ferriss,3.92,"289,911",2007
Mindset: The New Psychology of Success (Hardcover),https://www.goodreads.com/book/show/40745.Mindset,Carol S. Dweck,4.09,"145,685",2006
Big Magic: Creative Living Beyond Fear (Hardcover),https://www.goodreads.com/book/show/24453082-big-magic,Elizabeth Gilbert,3.95,"206,507",2015
The Happiness Project (Hardcover),https://www.goodreads.com/book/show/6398634-the-happiness-project,Gretchen Rubin,3.64,"170,222",2009
Outliers: The Story of Success (Hardcover),https://www.goodreads.com/book/show/3228917-outliers,Malcolm Gladwell,4.19,"766,550",2008
Essentialism: The Disciplined Pursuit of Less (Hardcover),https://www.goodreads.com/book/show/18077875-essentialism,Greg McKeown,4.07,"107,847",2011
Getting Things Done: The Art of Stress-Free Productivity (Paperback),https://www.goodreads.com/book/show/1633.Getting_Things_Done,David    Allen,4.01,"156,237",2001
How to Stop Worrying and Start Living (Dale Carnegie Books),https://www.goodreads.com/book/show/4866.How_to_Stop_Worrying_and_Start_Living,Dale Carnegie,4.15,"105,197",1944
The Alchemist (Paperback),https://www.goodreads.com/book/show/18144590-the-alchemist,Paulo Coelho,3.91,"2,958,000",1988
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (Paperback),https://www.goodreads.com/book/show/53642699-the-mountain-is-you,Brianna Wiest,4.12,"41,324",2020
"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness (Paperback)",https://www.goodreads.com/book/show/43306206-the-courage-to-be-disliked,Ichiro Kishimi,4.03,"65,891",2013
The 48 Laws of Power (Paperback),https://www.goodreads.com/book/show/1303.The_48_Laws_of_Power,Robert Greene,4.14,"141,757",1998
Girl Wash your Face (Hardcover),https://www.goodreads.com/book/show/35542451-girl-wash-your-face,Rachel Hollis,3.59,"251,660",2018
The Untethered Soul: The Journey Beyond Yourself (Paperback),https://www.goodreads.com/book/show/1963638.The_Untethered_Soul,Michael A. Singer,4.21,"104,064",2007
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works (Hardcover)",https://www.goodreads.com/book/show/18505796-10-happier,Dan   Harris,3.92,"105,572",2014
Grit: The Power of Passion and Perseverance (Hardcover),https://www.goodreads.com/book/show/27213329-grit,Angela Duckworth,4.08,"118,984",2016
Can't Hurt Me: Master Your Mind and Defy the Odds (Kindle Edition),https://www.goodreads.com/book/show/41721428-can-t-hurt-me,David Goggins,4.36,"212,019",2018
Digital Minimalism: Choosing a Focused Life in a Noisy World (Kindle Edition),https://www.goodreads.com/book/show/40672036-digital-minimalism,Cal Newport,4.06,"75,532",2019
Maybe You Should Talk to Someone (Hardcover),https://www.goodreads.com/book/show/37570546-maybe-you-should-talk-to-someone,Lori Gottlieb,4.38,"304,994",2019
A New Earth: Awakening to Your Life's Purpose (Paperback),https://www.goodreads.com/book/show/76334.A_New_Earth,Eckhart Tolle,4.14,"197,295",2005
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Paperback),https://www.goodreads.com/book/show/95887.Eat_That_Frog_,Brian Tracy,3.87,"71,571",2001
Blink: The Power of Thinking Without Thinking (Paperback),https://www.goodreads.com/book/show/40102.Blink,Malcolm Gladwell,3.96,"584,868",2005
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love (Hardcover),https://www.goodreads.com/book/show/9547888-attached,Amir Levine,4.15,"79,617",2010
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World (Audiobook),https://www.goodreads.com/book/show/31423133-make-your-bed,William H. McRaven,4.00,"125,415",2017
Untamed (Hardcover),https://www.goodreads.com/book/show/52129515-untamed,Glennon Doyle,4.00,"417,657",2020
Four Thousand Weeks: Time Management for Mortals (Hardcover),https://www.goodreads.com/book/show/54785515-four-thousand-weeks,Oliver Burkeman,4.23,"70,682",2021
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone (Hardcover),https://www.goodreads.com/book/show/34565022-braving-the-wilderness,Brené Brown,4.13,"105,934",2017
The Highly Sensitive Person: How to Thrive When the World Overwhelms You (Paperback),https://www.goodreads.com/book/show/923950.The_Highly_Sensitive_Person,Elaine N. Aron,3.86,"47,773",1997
